,0,************************************,**************W*********************,****B*********W*********************,****B*********W********************W,*B**B*****W************************W,*B**B*****W*W**********************W,***BBB****W*W**********************W,*B**B**B**W*W******W***************W,*B**B**BB*W***W****W***************W,**BBBB****W***W**W*W***************W,**BBBB**B*W***W**W*W*************W**,*BBBBB**B*WW**W**W*W*************W**,*BBBBB**B*WW**W**W*W****W**W********
1/1 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
